Date,Open,High,Low,Close,Volume
2015-01-02,25.06678062841028,25.078033124469464,24.157634230681584,24.603206634521484,212818400
2015-01-05,24.36916341708631,24.450176563542474,23.721059962326443,23.91008949279785,257142000
2015-01-06,23.975353831974346,24.175635886542572,23.545533921837993,23.912343978881836,263188400
2015-01-07,24.12387575656273,24.348911917414583,24.011357676136804,24.24764633178711,160423600
2015-01-08,24.580701184345408,25.237806377459222,24.46143057409687,25.179296493530273,237458000
2015-01-09,25.35482562672007,25.485347021311014,24.801236837846844,25.206302642822266,214798000
2015-01-12,25.33907011423771,25.345820924026754,24.483933775464354,24.5851993560791,198603200
2015-01-13,25.075785203241452,25.384085432147995,24.508694703722824,24.803491592407227,268367600
2015-01-14,24.53795063803259,24.864252483617022,24.416430868237583,24.7089786529541,195826400
2015-01-15,24.753983451741792,24.767485075128835,24.002363323768858,24.038368225097656,240056000
2015-01-16,24.085617454509386,24.209388016543755,23.673800911983545,23.851579666137695,314053200
2015-01-20,24.267899916292254,24.522191888957874,23.96635227051677,24.465932846069336,199599600
2015-01-21,24.5176906964787,24.992517165345483,24.36466602807296,24.652713775634766,194303600
2015-01-22,24.81249008720648,25.30981984699065,24.690970342022275,25.2940673828125,215185600
2015-01-23,25.271560689565035,25.597862424929172,25.098281890153494,25.424585342407227,185859200
2015-01-26,25.595610672568945,25.73513370066364,25.38407786358029,25.451587677001953,222460000
2015-01-27,25.29856409820353,25.31206743496987,24.535691671155384,24.56044578552246,382274800
2015-01-28,26.4710031235387,26.581272079102416,25.94891929626465,25.94891929626465,585908400
2015-01-29,26.176204128569353,26.8220584781325,26.00517617887617,26.756797790527344,337745600
2015-01-30,26.644282556470127,27.004340080836677,26.29547581033677,26.365238189697266,334982000
2015-02-02,26.56552332714393,26.817562765032694,26.12220175128471,26.696043014526367,250956400
2015-02-03,26.6667885853328,26.799559113675837,26.46650651305575,26.700544357299805,207662800
2015-02-04,26.66678335537409,27.119106490485457,26.624025938142253,26.90532112121582,280598800
2015-02-05,27.11543706189565,27.162882687555648,26.941476087917035,27.09736442565918,168984800
2015-02-06,27.11543159757154,27.167394940902504,26.76073054338122,26.86917495727539,174826400
2015-02-09,26.78333166622897,27.07477255311465,26.75622012443372,27.04766273498535,155559200
2015-02-10,27.149322121921657,27.596652984524333,27.14706412001042,27.56728172302246,248034000
2015-02-11,27.73672616848733,28.222463769006367,27.67572736454571,28.21342658996582,294247200
2015-02-12,28.480014920182864,28.800828716047544,28.369312502752404,28.570384979248047,297898000
2015-02-13,28.755646744048825,28.755646744048825,28.387390728472237,28.71046257019043,217088800
2015-02-17,28.803088634734515,29.117124998710135,28.674311852187724,28.87990379333496,252609600
2015-02-18,28.83471053544878,29.094523759828952,28.79404410273132,29.080968856811523,179566800
2015-02-19,29.026753115448845,29.15101216998659,28.99286584936184,29.019975662231445,149449600
2015-02-20,29.05838762528648,29.2572021484375,28.92961254357774,29.2572021484375,195793600
2015-02-23,29.374678227523102,30.04793167114258,29.293345342249317,30.047931671142578,283896400
2015-02-24,30.03437526389047,30.18348612066266,29.63448831066725,29.86041259765625,276912400
2015-02-25,29.722603564876188,29.7316424683574,28.952200791354457,29.096792221069336,298846800
2015-02-26,29.09678822759952,29.5667111715099,28.604274922749813,29.465045928955078,365150000
2015-02-27,29.370161621284854,29.498940138497325,28.97253605883605,29.022239685058594,248059200
2015-03-02,29.200720483273017,29.433422274006947,28.986093053133114,29.16457176208496,192386800
2015-03-03,29.135194722276445,29.261711759064674,28.93863826760194,29.225563049316406,151265200
2015-03-04,29.166826586728657,29.270749827374228,28.99060592012876,29.040306091308594,126665200
2015-03-05,29.049344944838623,29.087751659563764,28.412238530834024,28.55908966064453,226068400
2015-03-06,29.008681095124587,29.227827959694874,28.525204915449322,28.602018356323242,291368400
2015-03-09,28.909270212652032,29.27301015935749,28.254089466101764,28.72401237487793,354114000
2015-03-10,28.55908970787403,28.742087827238628,27.969427185848655,28.129833221435547,275426400
2015-03-11,28.184053837256602,28.18857156442893,27.587613877912503,27.61698341369629,275756000
2015-03-12,27.632796094405396,28.217940832695543,27.479167526405025,28.116273880004883,193450800
2015-03-13,28.104985495840726,28.330909813775676,27.693803306145753,27.921985626220703,207309200
2015-03-16,27.98750526898224,28.229244232177734,27.7593229376258,28.229244232177734,143497200
2015-03-17,28.4438681873939,28.764680262487634,28.387387115426744,28.7014217376709,204092400
2015-03-18,28.692383299423593,29.180380567151158,28.550051624835778,29.024492263793945,261083600
2015-03-19,29.087754735759663,29.20071689007329,28.782757263845998,28.805349349975586,183238000
2015-03-20,28.97478843428646,29.00867569679772,28.276683247907506,28.443866729736328,274780400
2015-03-23,28.719493845436027,28.88441759741271,28.583937904397438,28.739826202392578,150838800
2015-03-24,28.74435193951473,28.92734836314169,28.592981335405202,28.622352600097656,131369200
2015-03-25,28.58846392142509,28.65172245581783,27.874542236328125,27.874542236328125,206620800
2015-03-26,27.734469193603204,28.21342763483048,27.698320476102275,28.068836212158203,190291600
2015-03-27,28.14339677582053,28.172766321390665,27.76836324359421,27.845176696777344,158184800
2015-03-30,28.025906495907996,28.556828187814485,28.014609592896313,28.550050735473633,188398800
2015-03-31,28.4867945398389,28.577164605778147,28.0959464608752,28.11176109313965,168362400
2015-04-01,28.19987321218302,28.267651196829092,27.81128311069915,28.071096420288086,162485600
2015-04-02,28.24731743376598,28.367057047494477,28.057541832460235,28.312835693359375,128880400
2015-04-06,28.12079634455444,28.80760638548328,28.089167082193583,28.77145767211914,148776000
2015-04-07,28.83697930851459,28.945422014009793,28.461945843483907,28.46872329711914,140049200
2015-04-08,28.43257398810637,28.556833047720136,28.233761216390032,28.3760929107666,149316800
2015-04-09,28.43257717506491,28.597502697796156,28.163728388885485,28.59298324584961,129936000
2015-04-10,28.455160202821283,28.73982525650182,28.2992736336221,28.71497344970703,160752000
2015-04-13,29.00190103123806,29.047088648703216,28.60427550779559,28.658496856689453,145460400
2015-04-14,28.692383212577884,28.75790145982441,28.44612657771911,28.534236907958984,102098400
2015-04-15,28.559090237930654,28.721754278348502,28.468720177477046,28.642681121826172,115881600
